city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Abanda,Abanda,AL,Alabama,1017,Chambers,33.0926,-85.5253,218,28,polygon,FALSE,FALSE,America/Chicago,3,36276,1840023012
Abbeville,Abbeville,AL,Alabama,1067,Henry,31.5664,-85.2528,2560,63,polygon,FALSE,TRUE,America/Chicago,3,36310,1840000552
Adamsville,Adamsville,AL,Alabama,1073,Jefferson,33.6063,-86.9745,4281,65,polygon,FALSE,TRUE,America/Chicago,3,35214 35005 35060 35073,1840013724
Addison,Addison,AL,Alabama,1133,Winston,34.2017,-87.1765,718,73,polygon,FALSE,TRUE,America/Chicago,3,35540,1840015589
Akron,Akron,AL,Alabama,1065,Hale,32.8785,-87.7429,328,184,polygon,FALSE,TRUE,America/Chicago,3,35441,1840015775
Alabaster,Alabaster,AL,Alabama,1117,Shelby,33.2198,-86.8225,33487,512,polygon,FALSE,TRUE,America/Chicago,3,35114 35007 35144,1840013756
Albertville,Albertville,AL,Alabama,1095,Marshall,34.2634,-86.2107,37775,313,polygon,FALSE,TRUE,America/Chicago,3,35951 35950,1840013599
Alexander City,Alexander City,AL,Alabama,1123,Tallapoosa,32.9242,-85.9361,9046,131,polygon,FALSE,TRUE,America/Chicago,3,35010 35011,1840013788
Alexandria,Alexandria,AL,Alabama,1015,Calhoun,33.7675,-85.8792,4000,138,polygon,FALSE,FALSE,America/Chicago,3,36265 36250,1840013707
Aliceville,Aliceville,AL,Alabama,1107,Pickens,33.1237,-88.1594,2254,190,polygon,FALSE,TRUE,America/Chicago,3,35442,1840013758
Allgood,Allgood,AL,Alabama,1009,Blount,33.9064,-86.5178,650,241,polygon,FALSE,TRUE,America/Chicago,3,35013 35121,1840015599
Altoona,Altoona,AL,Alabama,1055,Etowah,34.031,-86.3181,913,81,polygon,FALSE,TRUE,America/Chicago,3,35952,1840000720
Andalusia,Andalusia,AL,Alabama,1039,Covington,31.3101,-86.4781,6407,170,polygon,FALSE,TRUE,America/Chicago,3,36420 36421,1840004591
Anderson,Anderson,AL,Alabama,1077,Lauderdale,34.9147,-87.2716,267,79,polygon,FALSE,TRUE,America/Chicago,3,35610,1840015513
Anniston,Anniston,AL,Alabama,1015,Calhoun,33.6712,-85.8136,73501,179,polygon,FALSE,TRUE,America/Chicago,3,36201 36206 36207 36205 36204,1840006563
Arab,Arab,AL,Alabama,1095,Marshall,34.3309,-86.4991,8342,242,polygon,FALSE,TRUE,America/Chicago,3,35016,1840013600
Ardmore,Ardmore,AL,Alabama,1083,Limestone,34.9847,-86.8373,1463,276,polygon,FALSE,TRUE,America/Chicago,3,35739,1840015515
Argo,Argo,AL,Alabama,1073,Jefferson,33.6961,-86.5066,4348,156,polygon,FALSE,TRUE,America/Chicago,3,35173 35120,1840015668
Ariton,Ariton,AL,Alabama,1045,Dale,31.5978,-85.7131,739,56,polygon,FALSE,TRUE,America/Chicago,3,36311,1840004920
