City,Latitude,Longitude
Abanda,33.0926,-85.5253
Abbeville,31.5664,-85.2528
Adamsville,33.6063,-86.9745
Addison,34.2017,-87.1765
Akron,32.8785,-87.7429
Alabaster,33.2198,-86.8225
Albertville,34.2634,-86.2107
Alexander City,32.9242,-85.9361
Alexandria,33.7675,-85.8792
Aliceville,33.1237,-88.1594
Allgood,33.9064,-86.5178
Altoona,34.031,-86.3181
Andalusia,31.3101,-86.4781
Anderson,34.9147,-87.2716
Anniston,33.6712,-85.8136
Arab,34.3309,-86.4991
Ardmore,34.9847,-86.8373
Argo,33.6961,-86.5066
Ariton,31.5978,-85.7131
Arley,34.0886,-87.2074
Ashford,31.1858,-85.2359
Ashland,33.2704,-85.8337
Ashville,33.8331,-86.2698
Athens,34.7847,-86.951
Atmore,31.0927,-87.4763
Attalla,34.0049,-86.104
Auburn,32.6087,-85.4899
Autaugaville,32.432,-86.6579
Avon,31.1799,-85.2802
Axis,30.9296,-88.0179
Babbie,31.3022,-86.3229
Baileyton,34.2609,-86.6082
Bakerhill,31.7769,-85.2955
Ballplay,34.0179,-85.7853
Banks,31.8132,-85.8364
Bay Minette,30.893,-87.7912
Bayou La Batre,30.4126,-88.261
Bear Creek,34.2651,-87.7164
Beatrice,31.7332,-87.209
Beaverton,33.9354,-88.0218
Belgreen,34.4767,-87.8653
Belk,33.6516,-87.9286
Bellamy,32.4582,-88.1277
Belle Fontaine,30.492,-88.1131
Benton,32.3078,-86.818
Berlin,34.1868,-86.7442
Berry,33.6623,-87.6079
Bessemer,33.3709,-86.9713
Billingsley,32.661,-86.7087
Birmingham,33.5277,-86.7987
Black,31.0102,-85.7428
Blountsville,34.0814,-86.5867
Blue Ridge,32.501,-86.1839
Blue Springs,31.6635,-85.5035
Boaz,34.1985,-86.1529
Boligee,32.7699,-88.0264
Bon Air,33.2621,-86.3319
Bon Secour,30.3222,-87.7271
Boykin,32.0701,-87.2914
Brantley,31.5822,-86.2569
Brantleyville,33.2196,-86.882
Brent,32.9421,-87.1753
Brewton,31.1111,-87.0737
Bridgeport,34.9495,-85.7243
Brighton,33.4393,-86.9454
Brilliant,34.0256,-87.7691
Bristow Cove,34.1092,-86.241
Brook Highland,33.4359,-86.6849
Brookside,33.638,-86.9014
Brookwood,33.2397,-87.3277
Broomtown,34.3657,-85.5322
Brundidge,31.7182,-85.8177
Bucks,31.017,-88.0249
Butler,32.0965,-88.2108
Calera,33.1249,-86.745
Calvert,31.154,-88.0169
Camden,32.0007,-87.2967
Camp Hill,32.8002,-85.6536
Carbon Hill,33.8944,-87.5224
Cardiff,33.6472,-86.9307
Carlisle-Rockledge,34.114,-86.1191
Carlton,31.343,-87.8378
Carolina,31.2337,-86.5227
Carrollton,33.2619,-88.0951
Castleberry,31.3001,-87.027
Catherine,32.1861,-87.4699
Cedar Bluff,34.2217,-85.5877
Center Point,33.6446,-86.6851
Centre,34.1551,-85.6699
Centreville,32.9597,-87.1334
Chatom,31.4691,-88.246
Chelsea,33.3255,-86.6299
Cherokee,34.7577,-87.967
Chickasaw,30.7714,-88.0793
Childersburg,33.2961,-86.3457
Choccolocco,33.6683,-85.7129
Chunchula,30.9237,-88.2072
Citronelle,31.0952,-88.2468
Clanton,32.844,-86.623
Clay,33.6976,-86.607
Clayhatchee,31.2434,-85.7136
Clayton,31.8822,-85.4604
Cleveland,33.9965,-86.5671
Clio,31.7085,-85.6109
Coaling,33.1641,-87.3534
Coats Bend,34.0774,-85.8742
Coffee Springs,31.1664,-85.9102
Coffeeville,31.7666,-88.0861
Coker,33.2446,-87.6799
Collinsville,34.267,-85.8652
Colony,33.9413,-86.9016
Columbia,31.2968,-85.1103
Columbiana,33.193,-86.6115
Concord,33.4674,-87.0392
Coosada,32.4983,-86.3279
Cordova,33.7613,-87.1925
Cottondale,33.1922,-87.4544
Cottonwood,31.0552,-85.3007
County Line,33.821,-86.7198
Courtland,34.6703,-87.3262
Cowarts,31.2041,-85.3062
Creola,30.8903,-88.01
Crossville,34.2853,-85.9997
Cuba,32.441,-88.3755
Cullman,34.1777,-86.8407
Cullomburg,31.7131,-88.2917
Cusseta,32.7877,-85.3057
Dadeville,32.8326,-85.7675
Daleville,31.2915,-85.7117
Daphne,30.6286,-87.8866
Dauphin Island,30.2525,-88.1438
Daviston,33.0556,-85.6371
Dayton,32.3509,-87.6416
Deatsville,32.5863,-86.3918
Decatur,34.573,-86.9906
Deer Park,31.2198,-88.3226
Delta,33.447,-85.6746
Demopolis,32.498,-87.8298
Detroit,34.0274,-88.1678
Dodge City,34.0453,-86.8837
Dora,33.7292,-87.085
Dothan,31.2335,-85.4069
Double Springs,34.1502,-87.3912
Douglas,34.1705,-86.3224
Dozier,31.5031,-86.3694
Dunnavant,33.5006,-86.538
Dutton,34.6062,-85.9119
East Brewton,31.0906,-87.0556
East Point,34.1859,-86.7927
Eclectic,32.6387,-86.0386
Edgewater,33.5286,-86.9574
Edwardsville,33.8411,-85.4523
Egypt,34.0759,-86.1651
Elba,31.4172,-86.0759
Elberta,30.3855,-87.5888
Eldridge,33.922,-87.6201
Elkmont,34.9289,-86.9765
Elmore,32.5552,-86.3425
Emelle,32.7287,-88.3165
Emerald Mountain,32.4396,-86.0857
Enterprise,31.3276,-85.8459
Epes,32.6906,-88.1405
Ethelsville,33.4141,-88.2161
Eufaula,31.9102,-85.1505
Eunola,31.0326,-85.8409
Eutaw,32.8436,-87.8987
Eva,34.3274,-86.7614
Evergreen,31.4342,-86.9723
Excel,31.4264,-87.3433
Fairfield,33.4747,-86.9194
Fairford,31.178,-88.0728
Fairhope,30.5217,-87.8815
Fairview,34.2477,-86.6843
Falkville,34.3793,-86.9086
Faunsdale,32.4576,-87.5938
Fayette,33.6943,-87.8307
Fayetteville,33.1643,-86.4411
Fitzpatrick,32.2113,-85.8784
Five Points,33.0173,-85.3516
Flomaton,31.0127,-87.2541
Florala,31.0176,-86.3138
Florence,34.8303,-87.6654
Foley,30.3983,-87.6649
Forestdale,33.5737,-86.9002
Forkland,32.6489,-87.8671
Fort Deposit,31.9863,-86.5664
Fort Payne,34.4557,-85.6965
Fort Rucker,31.3428,-85.7154
Franklin,32.4514,-85.7864
Fredonia,32.9861,-85.2912
Frisco City,31.4353,-87.4037
Fruitdale,31.3429,-88.4109
Fruithurst,33.7297,-85.4312
Fulton,31.7916,-87.7397
Fultondale,33.6177,-86.8015
Fyffe,34.4496,-85.9049
Gadsden,34.009,-86.0156
Gainesville,32.8149,-88.1608
Gallant,34.0013,-86.2304
Gantt,31.4092,-86.4842
Garden City,34.0152,-86.752
Gardendale,33.6678,-86.8069
Gaylesville,34.2681,-85.5586
Geiger,32.8698,-88.313
Geneva,31.0437,-85.8763
Georgiana,31.6391,-86.7468
Geraldine,34.3577,-86.0037
Gilbertown,31.8758,-88.3195
Glen Allen,33.8922,-87.7328
Glencoe,33.9449,-85.9319
Glenwood,31.6675,-86.173
Goldville,33.0841,-85.7831
Good Hope,34.1098,-86.8651
Goodwater,33.0608,-86.0516
Gordo,33.322,-87.904
Gordon,31.1436,-85.0925
Gordonville,32.1489,-86.6994
Goshen,31.7182,-86.1242
Graham,33.4552,-85.3231
Grand Bay,30.4717,-88.345
Grant,34.5189,-86.2492
Grayson Valley,33.6469,-86.6414
Graysville,33.6583,-86.9674
Greensboro,32.7014,-87.595
Greenville,31.8437,-86.6379
Grimes,31.2999,-85.4502
Grove Hill,31.7006,-87.7748
Guin,33.9832,-87.9023
Gulf Shores,30.2759,-87.7013
Gulfcrest,30.9925,-88.2399
Guntersville,34.367,-86.2638
Gurley,34.7072,-86.3768
Gu-Win,33.9443,-87.8704
Hackleburg,34.2693,-87.8303
Hackneyville,33.0567,-85.9312
Haleburg,31.4099,-85.1381
Haleyville,34.2331,-87.6175
Hamilton,34.1346,-87.9755
Hammondville,34.5685,-85.6397
Hanceville,34.0634,-86.7651
Harpersville,33.3184,-86.4287
Hartford,31.1055,-85.6916
Hartselle,34.4391,-86.94
Harvest,34.8558,-86.7521
Hatton,34.561,-87.4136
Hayden,33.8822,-86.7839
Hayneville,32.1822,-86.5787
Hazel Green,34.9237,-86.5671
Headland,31.3501,-85.3523
Heath,31.3579,-86.4673
Heflin,33.6471,-85.5698
Helena,33.2845,-86.8756
Henagar,34.631,-85.7405
Highland Lake,33.8876,-86.4244
Highland Lakes,33.397,-86.6497
Hillsboro,34.6408,-87.1837
Hissop,32.8746,-86.1159
Hobson,31.4836,-88.1513
Hobson City,33.6148,-85.8561
Hodges,34.334,-87.9299
Hokes Bluff,33.9902,-85.8639
Hollins,33.1213,-86.129
Hollis Crossroads,33.5231,-85.6437
Holly Pond,34.1696,-86.6125
Hollywood,34.719,-85.965
Holt,33.2302,-87.4827
Holtville,32.6314,-86.3268
Homewood,33.4617,-86.8092
Hoover,33.3754,-86.8064
Horn Hill,31.2382,-86.3211
Hueytown,33.4237,-87.022
Huguley,32.8431,-85.2397
Huntsville,34.6988,-86.6412
Hurtsboro,32.2401,-85.4147
